trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9925}",20,11,-19.017750995567148,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.9850562500000001}",20,0,-67.64909710306395,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9776683281250002}",30,22,0.683917889959996,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.9703358156640627}",25,0,-111.23755310684956,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9630582970465823}",30,0,-147.2558570718771,"{0: 20, 1: 0, 2: 7, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9558353598187329}",25,0,-201.55484005670235,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9486665946200925}",20,0,-147.228416763495,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9415515951604418}",25,0,-33.20136876408357,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9344899581967386}",20,0,-67.90797209439492,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.927481283510263}",30,0,-144.67178917962443,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9205251738839362}",25,0,-84.48154910686509,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9136212350798066}",25,0,-77.95800931944277,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9067690758167082}",25,0,-41.00135251292541,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.8999683077480829}",25,0,-33.18828235001815,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8932185454399724}",25,0,-37.38463506596198,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8865194063491726}",25,0,-135.99598335608042,"{0: 14, 1: 0, 2: 9, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8798705108015539}",20,0,-206.6679231293692,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 5}",0
18,False,"{'a': 0.5, 'e': 0.8732714819705423}",25,0,-35.24166950033228,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8667219458557632}",25,6,-212.7553539850007,"{0: 10, 1: 1, 2: 2, 3: 2, 4: 4}",1
20,False,"{'a': 0.5, 'e': 0.860221531261845}",30,0,-160.9729617215679,"{0: 15, 1: 3, 2: 7, 3: 5, 4: 0}",0
