trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-104.7550060500155,"{0: 14, 1: 2, 2: 7, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-111.72903590085987,"{0: 16, 1: 4, 2: 9, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.22747804699934,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-35.68552195965507,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.7305268086596,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.78218587717174,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.57469190176714,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-191.67115585903503,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-153.43287303613755,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-74.5551615718907,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-147.1541712444677,"{0: 8, 1: 3, 2: 6, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,5,-53.89352211722203,"{0: 8, 1: 3, 2: 3, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-212.14542555214447,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 4}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.11612320615696,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-45.19407592900429,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-208.7588062087929,"{0: 14, 1: 2, 2: 10, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.67944368253214,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-148.5819294493162,"{0: 14, 1: 5, 2: 2, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-217.59456248164776,"{0: 13, 1: 1, 2: 5, 3: 3, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.41485464810634,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-80.56793137852252,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-138.65791132939214,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-94.25600359028971,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-134.25880255088538,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-121.16528759920631,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",35,0,-200.95269234892672,"{0: 18, 1: 7, 2: 7, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-66.04081435425591,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-137.1907710609143,"{0: 17, 1: 2, 2: 1, 3: 3, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-95.82846468981762,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-80.95758286454219,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
